"Position","Review","Date","X","df_P5$Date <- ..."
1,"Posted:","22-Oct-22","I'm a so called free thinker buying this game for a third time","2022-10-22"
2,"Posted:","1-Nov-22","This is my #1 pick for ""Game I wish I could forget so I could experience it again for the first time"".","2022-11-01"
3,"Posted:","26-Oct-22","gonna bang the goth doctor that sells me perc30","2022-10-26"
5,"Posted:","25-Oct-22","Runs perfect on Steam deck.","2022-10-25"
6,"Posted:","22-Oct-22","-Have I played the game before? ""Yes"" -Have i cleared the game multiple times and get all achievements before? ""Yes"" -Do I need to buy the game again? ""Hell Yes""","2022-10-22"
7,"Posted:","24-Oct-22","I will punt morgana's simp ass into the shadow realm.","2022-10-24"
8,"Posted:","2-Nov-22","stopped studying for exams irl to study for exams in game 10/10","2022-11-02"
9,"Posted:","21-Oct-22","Product received for free A really solid port for an incredible game. I encountered no bugs in the 80+ hours I spent so far. It's so bug free, it even fixed some bugs I encountered in the PS4 version. Great port, great game. Can't recommend this game enough.","2022-10-21"
10,"Posted:","21-Oct-22","When Final Fantasy XV launched back in 2016 it started with a message - ""A Final Fantasy for Fans and First-TimersÓ. And while it can be argued if that is true in regards to the FF franchise, I feel that saying works really well for Persona 5. If you never played a Persona title, you can jump straight away without any fear, and what youÕll find is a game that is incredibly addictive and it definitely deserves the title Òone of the best JRPGS of all timeÓ. On a personal level, Persona 5 is one of my favorite games of all time, IÕve played through it numerous times and I still canÕt believe that IÕm doing it right now on PC. Something that was a pipe dream years ago turned into reality and I never wouldÕve missed the opportunity to support AtlusÕs decision to finally put the game on Steam. I still canÕt quite comprehend how much the series has grown since that fateful day in late 2007 when I was introduced to Persona 3 by a close friend. It was like nothing that IÕve played before and I loved it so much, that I went back and played Persona 1, 2 and numerous SMT titles, and then eagerly anticipated the release of Persona 4. When I played Persona 4 Golden for the first time back in the day, I thought that was the pinnacle of what the Persona franchise can achieve, but Atlus has shown us they have more than enough gas in the tank to keep this train going with Persona 5. The game feels much like a second home, while the outside world remains turbulent as ever, Joker and company are there for you if you need some entertainment to wind down. The characters feel like real people with real problems that are willing to test your empathy all through this 100-hour adventure. Persona 5 doesnÕt just focus on the glam, it does the mundane really well. There are moments where youÕre cleaning up your room, going out with a friend, or having your depressed guardian take you to school. You get used to just chilling and taking it all in, because every moment in this adventure counts and you foolishly start to understand it only when the end credits are starting to roll. The story is another strong point and while some moments seem predictable, it doesnÕt take away from its glory. Dungeons are improved compared to Persona 4 and they are separated in two categories campaign related and side content (which remain procedurally generated). The gameplay/combat animations are incredible and even something incredibly mundane as getting the upper hand in a battle seems smooth and stylish (even more in 120fps!). The soundtrack is brilliant and yes, during the years this has become a tradition in almost every Persona/SMT game and thank God it is, because it helps tremendously to set the mood. Persona 5 Royal is a collection of many things: inspiring stories, good times with good friends, a stunning visual novel and an amazing dungeon crawler. By working on what was already great and with brilliant new additions, Persona 5 Royal is an unforgettable experience that has you thinking about it long after itÕs over.","2022-10-21"
11,"Posted:","22-Oct-22","Product received for free Now I don't have any reasons to buy ps4 or 5","2022-10-22"
12,"Posted:","21-Oct-22","FOR REAL?!?!","2022-10-21"
